Algorithm,Scenario,Input Size,Steps,Execution Time (ms),Asymptotic Notation
Bubble Sort,sorted,10,10,0.00667572021484375,O(n^2)
Insertion Sort,sorted,10,27,0.003814697265625,O(n^2)
Merge Sort,sorted,10,121,0.016689300537109375,O(n log n)
Quick Sort,sorted,10,93,0.009298324584960938,"O(n log n) (avg), O(n^2) (worst)"
Heap Sort,sorted,10,221,0.013113021850585938,O(n log n)
Selection Sort,sorted,10,75,0.0054836273193359375,O(n^2)
Radix Sort,sorted,10,230,0.016689300537109375,O(n * d)
Counting Sort,sorted,10,134,0.0069141387939453125,O(n + k)

Bubble Sort,random,10,126,0.029325485229492188,O(n^2)
Insertion Sort,random,10,75,0.0133514404296875,O(n^2)
Merge Sort,random,10,124,0.031948089599609375,O(n log n)
Quick Sort,random,10,77,0.01049041748046875,"O(n log n) (avg), O(n^2) (worst)"
Heap Sort,random,10,187,0.017642974853515625,O(n log n)
Selection Sort,random,10,84,0.009298324584960938,O(n^2)
Radix Sort,random,10,230,0.024318695068359375,O(n * d)
Counting Sort,random,10,134,0.01049041748046875,O(n + k)

Bubble Sort,reversed,10,189,0.0133514404296875,O(n^2)
Insertion Sort,reversed,10,117,0.009059906005859375,O(n^2)
Merge Sort,reversed,10,117,0.017404556274414062,O(n log n)
Quick Sort,reversed,10,69,0.00858306884765625,"O(n log n) (avg), O(n^2) (worst)"
Heap Sort,reversed,10,150,0.0133514404296875,O(n log n)
Selection Sort,reversed,10,100,0.008821487426757812,O(n^2)
Radix Sort,reversed,10,230,0.019550323486328125,O(n * d)
Counting Sort,reversed,10,134,0.008344650268554688,O(n + k)

Bubble Sort,sorted,20,20,0.003337860107421875,O(n^2)
Insertion Sort,sorted,20,57,0.0045299530029296875,O(n^2)
Merge Sort,sorted,20,312,0.049114227294921875,O(n log n)
Quick Sort,sorted,20,234,0.014781951904296875,"O(n log n) (avg), O(n^2) (worst)"
Heap Sort,sorted,20,604,0.030040740966796875,O(n log n)
